SampleName,Time(abs),Temperature(room),Humidity(room)
Continuum,3730006950,25.619,12.597
Continuum,3730006955,25.619,12.597
Continuum,3730006960,25.652,12.627
Continuum,3730006965,25.63,12.665
Continuum,3730006970,25.63,12.688
Continuum,3730006975,25.641,12.681
Continuum,3730006980,25.609,12.681
Continuum,3730006985,25.652,12.642
Continuum,3730006990,25.619,12.65
Continuum,3730006995,25.619,12.658
Continuum,3730007000,25.652,12.658
Continuum,3730007005,25.63,12.642
Continuum,3730007010,25.641,12.658
Continuum,3730007015,25.641,12.658
Continuum,3730007020,25.652,12.665
Continuum,3730007025,25.652,12.665
Continuum,3730007030,25.662,12.681
Continuum,3730007035,25.652,12.696
Continuum,3730007040,25.652,12.734
Continuum,3730007045,25.652,12.726
Continuum,3730007050,25.673,12.734
Continuum,3730007055,25.641,12.749
Continuum,3730007060,25.652,12.757
Continuum,3730007065,25.684,12.749
Continuum,3730007070,25.652,12.726
Continuum,3730007075,25.652,12.719
Continuum,3730007080,25.652,12.688
Continuum,3730007085,25.641,12.673
Continuum,3730007090,25.652,12.642
Continuum,3730007095,25.662,12.658
Continuum,3730007100,25.63,12.658
Continuum,3730007105,25.673,12.681
Continuum,3730007110,25.662,12.673
Continuum,3730007115,25.684,12.665
Continuum,3730007120,25.684,12.658
Continuum,3730007125,25.695,12.642
Continuum,3730007130,25.684,12.65
Continuum,3730007135,25.684,12.658
Continuum,3730007140,25.684,12.681
Continuum,3730007145,25.662,12.696
Continuum,3730007150,25.684,12.688
Continuum,3730007155,25.695,12.665
Continuum,3730007160,25.695,12.658
Continuum,3730007165,25.673,12.696
Continuum,3730007170,25.662,12.757
Continuum,3730007175,25.684,12.795
Continuum,3730007180,25.684,12.818
Continuum,3730007185,25.673,12.826
Continuum,3730007190,25.662,12.826
Continuum,3730007195,25.705,12.795
Continuum,3730007200,25.673,12.818
Continuum,3730007205,25.684,12.848
Continuum,3730007210,25.652,12.856
Continuum,3730007215,25.684,12.871
Continuum,3730007220,25.652,12.887
Continuum,3730007225,25.684,12.887
Continuum,3730007230,25.662,12.871
Continuum,3730007235,25.673,12.864
Continuum,3730007240,25.695,12.902
Continuum,3730007245,25.673,12.94
Continuum,3730007250,25.684,12.94
Continuum,3730007255,25.684,12.909
Continuum,3730007260,25.684,12.856
Continuum,3730007265,25.695,12.81
Continuum,3730007270,25.705,12.795
Continuum,3730007275,25.705,12.795
Continuum,3730007280,25.695,12.772
Continuum,3730007285,25.695,12.757
Continuum,3730007290,25.705,12.734
Continuum,3730007295,25.705,12.757
Continuum,3730007300,25.695,12.81
Continuum,3730007305,25.695,12.856
Continuum,3730007310,25.695,12.902
Continuum,3730007315,25.705,12.902
Continuum,3730007320,25.705,12.879
Continuum,3730007325,25.716,12.833
Continuum,3730007330,25.716,12.803
Continuum,3730007335,25.716,12.78
Continuum,3730007340,25.727,12.764
Continuum,3730007345,25.705,12.742
Continuum,3730007350,25.684,12.711
Continuum,3730007355,25.684,12.681
Continuum,3730007360,25.684,12.658
Continuum,3730007365,25.684,12.642
Continuum,3730007370,25.695,12.62
Continuum,3730007375,25.695,12.597
Continuum,3730007380,25.695,12.627
Continuum,3730007385,25.695,12.65
Continuum,3730007390,25.684,12.696
Continuum,3730007395,25.705,12.711
Continuum,3730007400,25.737,12.711
Continuum,3730007405,25.705,12.703
Continuum,3730007410,25.716,12.719
Continuum,3730007415,25.705,12.726
Continuum,3730007420,25.737,12.726
Continuum,3730007425,25.727,12.711
Continuum,3730007430,25.727,12.726
Continuum,3730007435,25.705,12.719
Continuum,3730007440,25.705,12.696
Continuum,3730007445,25.716,12.665
Continuum,3730007450,25.716,12.665
Continuum,3730007455,25.695,12.665
Continuum,3730007460,25.695,12.673
Continuum,3730007465,25.727,12.673
Continuum,3730007470,25.727,12.673
Continuum,3730007475,25.727,12.665
Continuum,3730007480,25.716,12.65
Continuum,3730007485,25.716,12.642
Continuum,3730007490,25.727,12.62
Continuum,3730007495,25.737,12.604
Continuum,3730007500,25.727,12.604
Continuum,3730007505,25.737,12.589
Continuum,3730007510,25.727,12.627
Continuum,3730007515,25.727,12.65
Continuum,3730007520,25.727,12.673
Continuum,3730007525,25.737,12.688
Continuum,3730007530,25.727,12.696
Continuum,3730007535,25.716,12.673
Continuum,3730007540,25.737,12.65
Continuum,3730007545,25.705,12.658
Continuum,3730007550,25.716,12.658
Continuum,3730007555,25.737,12.673
Continuum,3730007560,25.727,12.688
Continuum,3730007565,25.705,12.734
Continuum,3730007570,25.727,12.734
Continuum,3730007575,25.727,12.719
Continuum,3730007580,25.737,12.703
Continuum,3730007585,25.748,12.719
Continuum,3730007590,25.716,12.742
Continuum,3730007595,25.705,12.742
Continuum,3730007600,25.705,12.749
Continuum,3730007605,25.705,12.764
Continuum,3730007610,25.716,12.757
Continuum,3730007615,25.727,12.742
Continuum,3730007620,25.716,12.734
Continuum,3730007625,25.716,12.742
Continuum,3730007630,25.705,12.749
Continuum,3730007635,25.737,12.726
Continuum,3730007640,25.716,12.719
Continuum,3730007645,25.716,12.696
Continuum,3730007650,25.716,12.665
Continuum,3730007655,25.748,12.642
Continuum,3730007660,25.716,12.62
Continuum,3730007665,25.727,12.612
Continuum,3730007670,25.727,12.612
Continuum,3730007675,25.727,12.612
Continuum,3730007680,25.748,12.604
Continuum,3730007685,25.748,12.597
Continuum,3730007690,25.727,12.604
Continuum,3730007695,25.737,12.597
Continuum,3730007700,25.737,12.581
Continuum,3730007705,25.748,12.581
Continuum,3730007710,25.748,12.597
Continuum,3730007715,25.737,12.62
Continuum,3730007720,25.748,12.627
Continuum,3730007725,25.759,12.604
Continuum,3730007730,25.77,12.604
Continuum,3730007735,25.77,12.627
Continuum,3730007740,25.77,12.627
Continuum,3730007745,25.77,12.642
Continuum,3730007750,25.77,12.627
Continuum,3730007755,25.748,12.612
Continuum,3730007760,25.77,12.597
Continuum,3730007765,25.77,12.574
Continuum,3730007770,25.77,12.543
Continuum,3730007775,25.77,12.528
Continuum,3730007780,25.77,12.543
Continuum,3730007785,25.77,12.589
Continuum,3730007790,25.78,12.635
Continuum,3730007795,25.78,12.65
Continuum,3730007800,25.802,12.635
Continuum,3730007805,25.802,12.65
Continuum,3730007810,25.77,12.642
Continuum,3730007815,25.78,12.65
Continuum,3730007820,25.77,12.65
Continuum,3730007825,25.77,12.642
Continuum,3730007830,25.78,12.627
Continuum,3730007835,25.78,12.612
Continuum,3730007840,25.791,12.581
Continuum,3730007845,25.77,12.566
Continuum,3730007850,25.77,12.551
Continuum,3730007855,25.78,12.528
Continuum,3730007860,25.78,12.551
Continuum,3730007865,25.77,12.597
Continuum,3730007870,25.77,12.635
Continuum,3730007875,25.77,12.665
Continuum,3730007880,25.748,12.665
Continuum,3730007885,25.77,12.642
Continuum,3730007890,25.802,12.665
Continuum,3730007895,25.791,12.673
Continuum,3730007900,25.77,12.65
Continuum,3730007905,25.77,12.627
Continuum,3730007910,25.791,12.612
Continuum,3730007915,25.77,12.612
Continuum,3730007920,25.759,12.589
Continuum,3730007925,25.78,12.566
Continuum,3730007930,25.77,12.551
Continuum,3730007935,25.78,12.551
Continuum,3730007940,25.802,12.543
Continuum,3730007945,25.791,12.536
Continuum,3730007950,25.791,12.543
Continuum,3730007955,25.791,12.566
Continuum,3730007960,25.791,12.574
Continuum,3730007965,25.77,12.581
Continuum,3730007970,25.791,12.597
Continuum,3730007975,25.791,12.65
Continuum,3730007980,25.77,12.65
Continuum,3730007985,25.791,12.665
Continuum,3730007990,25.748,12.665
Continuum,3730007995,25.77,12.665
Continuum,3730008000,25.77,12.665
Continuum,3730008005,25.77,12.673
Continuum,3730008010,25.78,12.673
Continuum,3730008015,25.813,12.673
Continuum,3730008020,25.791,12.658
Continuum,3730008025,25.802,12.642
Continuum,3730008030,25.802,12.62
Continuum,3730008035,25.802,12.589
Continuum,3730008040,25.813,12.566
Continuum,3730008045,25.791,12.574
Continuum,3730008050,25.791,12.566
Continuum,3730008055,25.77,12.581
Continuum,3730008060,25.77,12.574
Continuum,3730008065,25.791,12.559
Continuum,3730008070,25.77,12.566
Continuum,3730008075,25.77,12.581
Continuum,3730008080,25.77,12.574
Continuum,3730008085,25.77,12.566
Continuum,3730008090,25.78,12.543
Continuum,3730008095,25.791,12.581
Continuum,3730008100,25.791,12.589
Continuum,3730008105,25.802,12.62
Continuum,3730008110,25.791,12.612
Continuum,3730008115,25.78,12.612
Continuum,3730008120,25.791,12.604
Continuum,3730008125,25.78,12.581
Continuum,3730008130,25.791,12.589
Continuum,3730008135,25.791,12.566
Continuum,3730008140,25.791,12.543
Continuum,3730008145,25.791,12.52
Continuum,3730008150,25.813,12.49
Continuum,3730008155,25.813,12.505
Continuum,3730008160,25.834,12.513
Continuum,3730008165,25.813,12.528
Continuum,3730008170,25.834,12.52
Continuum,3730008175,25.791,12.52
Continuum,3730008180,25.813,12.513
Continuum,3730008185,25.823,12.505
Continuum,3730008190,25.834,12.49
Continuum,3730008195,25.813,12.497
Continuum,3730008200,25.813,12.497
Continuum,3730008205,25.802,12.497
Continuum,3730008210,25.813,12.513
Continuum,3730008215,25.834,12.536
Continuum,3730008220,25.813,12.551
Continuum,3730008225,25.813,12.536
Continuum,3730008230,25.823,12.536
Continuum,3730008235,25.823,12.536
Continuum,3730008240,25.802,12.513
Continuum,3730008245,25.834,12.497
Continuum,3730008250,25.813,12.52
Continuum,3730008255,25.834,12.52
Continuum,3730008260,25.823,12.513
Continuum,3730008265,25.845,12.49
Continuum,3730008270,25.834,12.475
Continuum,3730008275,25.834,12.467
Continuum,3730008280,25.845,12.467
Continuum,3730008285,25.834,12.467
